theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.0365
5	0	0.0361
10	0	0.0348
15	0	0.0327
20	0	0.0295
25	0	0.0253
30	0	0.0199
35	0	0.0137
40	0	0.0072
45	0	0.0018
50	0	0.0002
55	0	0.0074
60	0	0.0317
65	0	0.0866
70	0	0.1914
75	0	0.3674
80	0	0.6179
85	0	0.8797
90	0	1
0	360	0.0365
5	360	0.0361
10	360	0.0348
15	360	0.0327
20	360	0.0295
25	360	0.0253
30	360	0.0199
35	360	0.0137
40	360	0.0072
45	360	0.0018
50	360	0.0002
55	360	0.0074
60	360	0.0317
65	360	0.0866
70	360	0.1914
75	360	0.3674
80	360	0.6179
85	360	0.8797
90	360	1
