theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.9699
5	0	0.9701
10	0	0.9707
15	0	0.9719
20	0	0.9736
25	0	0.9762
30	0	0.9796
35	0	0.9840
40	0	0.9892
45	0	0.9945
50	0	0.9989
55	0	0.9996
60	0	0.9919
65	0	0.9671
70	0	0.9088
75	0	0.7877
80	0	0.5587
85	0	0.2142
90	0	0
0	360	0.9699
5	360	0.9701
10	360	0.9707
15	360	0.9719
20	360	0.9736
25	360	0.9762
30	360	0.9796
35	360	0.9840
40	360	0.9892
45	360	0.9945
50	360	0.9989
55	360	0.9996
60	360	0.9919
65	360	0.9671
70	360	0.9088
75	360	0.7877
80	360	0.5587
85	360	0.2142
90	360	0
