theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.0424549880000000
0	5	0.0434202510000000
0	10	0.0418086550000000
0	15	0.0399947760000000
0	20	0.0395653030000000
0	25	0.0395344250000000
0	30	0.0385283230000000
0	35	0.0386739460000000
0	40	0.0437686340000000
0	45	0.0400166090000000
0	50	0.0414938530000000
0	55	0.0432428290000000
0	60	0.0448077750000000
0	65	0.0433159470000000
0	70	0.0343214330000000
0	75	0.0347225460000000
0	80	0.0369291590000000
0	85	0.0430382890000000
0	90	0.0531497170000000
5	0	0.0818360100000000
5	5	0.0804787490000000
5	10	0.0355355120000000
5	15	0.0346436700000000
5	20	0.0348026680000000
5	25	0.0364075300000000
5	30	0.0385976000000000
5	35	0.0387122130000000
5	40	0.0455816590000000
5	45	0.0243976500000000
5	50	0.0249647190000000
5	55	0.0252203030000000
5	60	0.0261335120000000
5	65	0.0274414750000000
5	70	0.0301796260000000
5	75	0.0332719580000000
5	80	0.00700489010000000
5	85	0.00620633820000000
5	90	0.00828301960000000
10	0	0.0101832480000000
10	5	0.0148893190000000
10	10	0.0282579210000000
10	15	0.0352105700000000
10	20	0.0529413880000000
10	25	0.0483099190000000
10	30	0.0548807410000000
10	35	0.0623091980000000
10	40	0.0849059280000000
10	45	0.119594800000000
10	50	0.187735100000000
10	55	0.0294145610000000
10	60	0.0318086160000000
10	65	0.0296679840000000
10	70	0.0320192230000000
10	75	0.0297837310000000
10	80	0.0323928060000000
10	85	0.0379936810000000
10	90	0.0225371050000000
15	0	0.0230076040000000
15	5	0.0226596550000000
15	10	0.0224446960000000
15	15	0.0193650500000000
15	20	0.0178148860000000
15	25	0.0212442560000000
15	30	0.0221267020000000
15	35	0.0242278330000000
15	40	0.0238828240000000
15	45	0.0227272540000000
15	50	0.0223124760000000
15	55	0.0207327190000000
15	60	0.0216777460000000
15	65	0.0194516150000000
15	70	0.0201770350000000
15	75	0.0335541490000000
15	80	0.0411537440000000
15	85	0.0274341860000000
15	90	0.0221390080000000
20	0	0.0195571890000000
20	5	0.0306916010000000
20	10	0.0288868570000000
20	15	0.0287071860000000
20	20	0.0280132260000000
20	25	0.0591220500000000
20	30	0.0342517680000000
20	35	0.0258716510000000
20	40	0.0467308360000000
20	45	0.0481469150000000
20	50	0.0474046800000000
20	55	0.0454916140000000
20	60	0.0435087140000000
20	65	0.0974630240000000
20	70	0.0425668410000000
20	75	0.0848087660000000
20	80	0.0841038270000000
20	85	0.0838685240000000
20	90	0.0825044950000000
25	0	0.0833000930000000
25	5	0.120103160000000
25	10	0.0821828930000000
25	15	0.163035400000000
25	20	0.163145730000000
25	25	0.161864040000000
25	30	0.159297970000000
25	35	0.157374690000000
25	40	0.156511210000000
25	45	0.181922160000000
25	50	0.312751450000000
25	55	0.311584860000000
25	60	0.309881150000000
25	65	0.307777800000000
25	70	0.302618550000000
25	75	0.303018750000000
25	80	0.349801850000000
25	85	0.555610810000000
25	90	0.556559820000000
30	0	0.553727820000000
30	5	0.550317680000000
30	10	0.544204070000000
30	15	0.540501890000000
30	20	0.569433190000000
30	25	0.844878540000000
30	30	0.843702660000000
30	35	0.841980450000000
30	40	0.839833130000000
30	45	0.835440390000000
30	50	0.831369220000000
30	55	0.834441060000000
30	60	0.999517070000000
30	65	0.999519370000000
30	70	0.999496420000000
30	75	0.999446680000000
30	80	0.999383410000000
30	85	0.999330400000000
30	90	0.998998870000000
35	0	0.0403279320000000
35	5	0.0401159150000000
35	10	0.0368311890000000
35	15	0.0376442240000000
35	20	0.0315834680000000
35	25	0.0327855190000000
35	30	0.0418604760000000
35	35	0.0378718290000000
35	40	0.0352425000000000
35	45	0.0369531550000000
35	50	0.0342139620000000
35	55	0.0338168850000000
35	60	0.104156260000000
35	65	0.157005410000000
35	70	0.181188150000000
35	75	0.112073130000000
35	80	0.0617844390000000
35	85	0.0413346540000000
35	90	0.0506573100000000
40	0	0.0630229960000000
40	5	0.0783003240000000
40	10	0.126842650000000
40	15	0.228227350000000
40	20	0.158374880000000
40	25	0.0418225860000000
40	30	0.0452899370000000
40	35	0.0504680170000000
40	40	0.0635879260000000
40	45	0.0949506700000000
40	50	0.242634150000000
40	55	0.0341381160000000
40	60	0.0368539770000000
40	65	0.0396913330000000
40	70	0.0494400030000000
40	75	0.0600030450000000
40	80	0.174053470000000
40	85	0.572751990000000
40	90	0.0645232570000000
45	0	0.0176174610000000
45	5	0.0437056070000000
45	10	0.0559356180000000
45	15	0.135278300000000
45	20	0.0443437160000000
45	25	0.0646403500000000
45	30	0.150020020000000
45	35	0.263333580000000
45	40	0.499402820000000
45	45	0.0429460100000000
45	50	0.0237967730000000
45	55	0.0284099550000000
45	60	0.0339472280000000
45	65	0.0464260100000000
45	70	0.103382000000000
45	75	0.102452140000000
45	80	0.0215716760000000
45	85	0.0197517700000000
45	90	0.0241346490000000
50	0	0.0324538770000000
50	5	0.0486359860000000
50	10	0.281451500000000
50	15	0.0222031430000000
50	20	0.0221909840000000
50	25	0.0237705200000000
50	30	0.0269810160000000
50	35	0.0424951990000000
50	40	0.313744560000000
50	45	0.0275418540000000
50	50	0.0291650520000000
50	55	0.0285512830000000
50	60	0.0306986750000000
50	65	0.0448874550000000
50	70	0.333992980000000
50	75	0.0394205310000000
50	80	0.0401150780000000
50	85	0.0409420790000000
50	90	0.0438793310000000
55	0	0.0538216390000000
55	5	0.353910350000000
55	10	0.0693298530000000
55	15	0.0681941680000000
55	20	0.0699992130000000
55	25	0.0714083860000000
55	30	0.0633722270000000
55	35	0.309578390000000
55	40	0.136790680000000
55	45	0.134768860000000
55	50	0.131140340000000
55	55	0.131850280000000
55	60	0.108123560000000
55	65	0.247480050000000
55	70	0.265340350000000
55	75	0.261916380000000
55	80	0.257361260000000
55	85	0.254137850000000
55	90	0.196071730000000
60	0	0.248841010000000
60	5	0.489996160000000
60	10	0.489215950000000
60	15	0.480492610000000
60	20	0.474018440000000
60	25	0.361753780000000
60	30	0.364943330000000
60	35	0.788575740000000
60	40	0.790142200000000
60	45	0.782094930000000
60	50	0.777885220000000
