theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.957545010000000
0	5	0.956579750000000
0	10	0.958191340000000
0	15	0.960005220000000
0	20	0.960434700000000
0	25	0.960465570000000
0	30	0.961471680000000
0	35	0.961326050000000
0	40	0.956231370000000
0	45	0.959983390000000
0	50	0.958506150000000
0	55	0.956757170000000
0	60	0.955192220000000
0	65	0.956684050000000
0	70	0.965678570000000
0	75	0.965277450000000
0	80	0.963070840000000
0	85	0.956961710000000
0	90	0.946850280000000
5	0	0.918163990000000
5	5	0.919521250000000
5	10	0.964464490000000
5	15	0.965356330000000
5	20	0.965197330000000
5	25	0.963592470000000
5	30	0.961402400000000
5	35	0.961287790000000
5	40	0.954418340000000
5	45	0.975602350000000
5	50	0.975035280000000
5	55	0.974779700000000
5	60	0.973866490000000
5	65	0.972558530000000
5	70	0.969820370000000
5	75	0.966728040000000
5	80	0.992995110000000
5	85	0.993793660000000
5	90	0.991716980000000
10	0	0.989816750000000
10	5	0.985110680000000
10	10	0.971742080000000
10	15	0.964789430000000
10	20	0.947058610000000
10	25	0.951690080000000
10	30	0.945119260000000
10	35	0.937690800000000
10	40	0.915094070000000
10	45	0.880405200000000
10	50	0.812264900000000
10	55	0.970585440000000
10	60	0.968191380000000
10	65	0.970332020000000
10	70	0.967980780000000
10	75	0.970216270000000
10	80	0.967607190000000
10	85	0.962006320000000
10	90	0.977462900000000
15	0	0.976992400000000
15	5	0.977340350000000
15	10	0.977555300000000
15	15	0.980634950000000
15	20	0.982185110000000
15	25	0.978755740000000
15	30	0.977873300000000
15	35	0.975772170000000
15	40	0.976117180000000
15	45	0.977272750000000
15	50	0.977687520000000
15	55	0.979267280000000
15	60	0.978322250000000
15	65	0.980548390000000
15	70	0.979822970000000
15	75	0.966445850000000
15	80	0.958846260000000
15	85	0.972565810000000
15	90	0.977860990000000
20	0	0.980442810000000
20	5	0.969308400000000
20	10	0.971113140000000
20	15	0.971292810000000
20	20	0.971986770000000
20	25	0.940877950000000
20	30	0.965748230000000
20	35	0.974128350000000
20	40	0.953269160000000
20	45	0.951853080000000
20	50	0.952595320000000
20	55	0.954508390000000
20	60	0.956491290000000
20	65	0.902536980000000
20	70	0.957433160000000
20	75	0.915191230000000
20	80	0.915896170000000
20	85	0.916131480000000
20	90	0.917495510000000
25	0	0.916699910000000
25	5	0.879896840000000
25	10	0.917817110000000
25	15	0.836964600000000
25	20	0.836854270000000
25	25	0.838135960000000
25	30	0.840702030000000
25	35	0.842625310000000
25	40	0.843488790000000
25	45	0.818077840000000
25	50	0.687248550000000
25	55	0.688415140000000
25	60	0.690118850000000
25	65	0.692222200000000
25	70	0.697381450000000
25	75	0.696981250000000
25	80	0.650198150000000
25	85	0.444389190000000
25	90	0.443440180000000
30	0	0.446272180000000
30	5	0.449682320000000
30	10	0.455795930000000
30	15	0.459498110000000
30	20	0.430566810000000
30	25	0.155121460000000
30	30	0.156297340000000
30	35	0.158019550000000
30	40	0.160166870000000
30	45	0.164559610000000
30	50	0.168630780000000
30	55	0.165558940000000
30	60	0.000482929330000000
30	65	0.000480626520000000
30	70	0.000503580160000000
30	75	0.000553316190000000
30	80	0.000616591660000000
30	85	0.000669604830000000
30	90	0.00100112720000000
35	0	0.959672070000000
35	5	0.959884090000000
35	10	0.963168810000000
35	15	0.962355780000000
35	20	0.968416530000000
35	25	0.967214480000000
35	30	0.958139520000000
35	35	0.962128170000000
35	40	0.964757500000000
35	45	0.963046840000000
35	50	0.965786040000000
35	55	0.966183110000000
35	60	0.895843740000000
35	65	0.842994590000000
35	70	0.818811850000000
35	75	0.887926870000000
35	80	0.938215560000000
35	85	0.958665350000000
35	90	0.949342690000000
40	0	0.936977000000000
40	5	0.921699680000000
40	10	0.873157350000000
40	15	0.771772650000000
40	20	0.841625120000000
40	25	0.958177410000000
40	30	0.954710060000000
40	35	0.949531980000000
40	40	0.936412070000000
40	45	0.905049330000000
40	50	0.757365850000000
40	55	0.965861880000000
40	60	0.963146020000000
40	65	0.960308670000000
40	70	0.950560000000000
40	75	0.939996960000000
40	80	0.825946530000000
40	85	0.427248010000000
40	90	0.935476740000000
45	0	0.982382540000000
45	5	0.956294390000000
45	10	0.944064380000000
45	15	0.864721700000000
45	20	0.955656280000000
45	25	0.935359650000000
45	30	0.849979980000000
45	35	0.736666420000000
45	40	0.500597180000000
45	45	0.957053990000000
45	50	0.976203230000000
45	55	0.971590040000000
45	60	0.966052770000000
45	65	0.953573990000000
45	70	0.896618000000000
45	75	0.897547860000000
45	80	0.978428320000000
45	85	0.980248230000000
45	90	0.975865350000000
50	0	0.967546120000000
50	5	0.951364010000000
50	10	0.718548500000000
50	15	0.977796860000000
50	20	0.977809020000000
50	25	0.976229480000000
50	30	0.973018980000000
50	35	0.957504800000000
50	40	0.686255440000000
50	45	0.972458150000000
50	50	0.970834950000000
50	55	0.971448720000000
50	60	0.969301330000000
50	65	0.955112550000000
50	70	0.666007020000000
50	75	0.960579470000000
50	80	0.959884920000000
50	85	0.959057920000000
50	90	0.956120670000000
55	0	0.946178360000000
55	5	0.646089650000000
55	10	0.930670150000000
55	15	0.931805830000000
55	20	0.930000790000000
55	25	0.928591610000000
55	30	0.936627770000000
55	35	0.690421610000000
55	40	0.863209320000000
55	45	0.865231140000000
55	50	0.868859660000000
55	55	0.868149720000000
55	60	0.891876440000000
55	65	0.752519950000000
55	70	0.734659650000000
55	75	0.738083620000000
55	80	0.742638740000000
55	85	0.745862150000000
55	90	0.803928270000000
60	0	0.751158990000000
60	5	0.510003840000000
60	10	0.510784050000000
60	15	0.519507390000000
60	20	0.525981560000000
60	25	0.638246220000000
60	30	0.635056670000000
60	35	0.211424260000000
60	40	0.209857800000000
60	45	0.217905070000000
60	50	0.222114780000000
60	55	0.334305870000000
60	60	0.366766720000000
60	65	0.00172409110000000
60	70	0.00160588490000000
60	75	0.00174874930000000
60	80	0.00181172620000000
60	85	0.00212548200000000
60	90	0.00701986960000000
65	0	0.966133270000000
65	5	0.967065890000000
65	10	0.968274190000000
65	15	0.966953800000000
