theta	phi	gain
(deg)	(deg)	
-----------------------------------------
                         0                         0     8.946275286301030e-01
     5.000000000000000e+00                         0     8.950768365636560e-01
     1.000000000000000e+01                         0     8.965006707066060e-01
     1.500000000000000e+01                         0     8.991234963150721e-01
     2.000000000000000e+01                         0     9.033064104266980e-01
     2.500000000000000e+01                         0     9.095196424500600e-01
     3.000000000000000e+01                         0     9.182857840109630e-01
     3.500000000000000e+01                         0     9.300687054325720e-01
     4.000000000000000e+01                         0     9.450625037463371e-01
     4.500000000000000e+01                         0     9.627973236444900e-01
     5.000000000000000e+01                         0     9.814150905085840e-01
     5.500000000000000e+01                         0     9.963780249078150e-01
     6.000000000000000e+01                         0     9.983152433126190e-01
     6.500000000000000e+01                         0     9.699800118845290e-01
     7.000000000000000e+01                         0     8.838824231554010e-01
     7.500000000000000e+01                         0     7.074235929585250e-01
     8.000000000000000e+01                         0     4.321261431200390e-01
     8.500000000000000e+01                         0     1.360814350244900e-01
     9.000000000000000e+01                         0     1.000000000000000e-06
                         0     3.600000000000000e+02     8.946275286301030e-01
     5.000000000000000e+00     3.600000000000000e+02     8.950768365636560e-01
     1.000000000000000e+01     3.600000000000000e+02     8.965006707066060e-01
     1.500000000000000e+01     3.600000000000000e+02     8.991234963150721e-01
     2.000000000000000e+01     3.600000000000000e+02     9.033064104266980e-01
     2.500000000000000e+01     3.600000000000000e+02     9.095196424500600e-01
     3.000000000000000e+01     3.600000000000000e+02     9.182857840109630e-01
     3.500000000000000e+01     3.600000000000000e+02     9.300687054325720e-01
     4.000000000000000e+01     3.600000000000000e+02     9.450625037463371e-01
     4.500000000000000e+01     3.600000000000000e+02     9.627973236444900e-01
     5.000000000000000e+01     3.600000000000000e+02     9.814150905085840e-01
     5.500000000000000e+01     3.600000000000000e+02     9.963780249078150e-01
     6.000000000000000e+01     3.600000000000000e+02     9.983152433126190e-01
     6.500000000000000e+01     3.600000000000000e+02     9.699800118845290e-01
     7.000000000000000e+01     3.600000000000000e+02     8.838824231554010e-01
     7.500000000000000e+01     3.600000000000000e+02     7.074235929585250e-01
     8.000000000000000e+01     3.600000000000000e+02     4.321261431200390e-01
     8.500000000000000e+01     3.600000000000000e+02     1.360814350244900e-01
     9.000000000000000e+01     3.600000000000000e+02     1.000000000000000e-06
