theta	phi	gain
(deg)	(deg)	
-----------------------------------------
                         0                         0     8.946275286301030e-01
     5.000000000000000e+00                         0     8.973783138478390e-01
     1.000000000000000e+01                         0     9.054279267026010e-01
     1.500000000000000e+01                         0     9.181293274550210e-01
     2.000000000000000e+01                         0     9.343004571895180e-01
     2.500000000000000e+01                         0     9.521637932252290e-01
     3.000000000000000e+01                         0     9.694536180251070e-01
     3.500000000000000e+01                         0     9.838311959596980e-01
     4.000000000000000e+01                         0     9.936120370817210e-01
     4.500000000000000e+01                         0     9.985187354839870e-01
     5.000000000000000e+01                         0     9.999137646065900e-01
     5.500000000000000e+01                         0     9.999997674419990e-01
     6.000000000000000e+01                         0     9.997029567623630e-01
     6.500000000000000e+01                         0     9.948118307502311e-01
     7.000000000000000e+01                         0     9.690183142964230e-01
     7.500000000000000e+01                         0     8.819341800667550e-01
     8.000000000000000e+01                         0     6.596345896315951e-01
     8.500000000000000e+01                         0     2.641403915408470e-01
     9.000000000000000e+01                         0     1.000000000000000e-06
                         0     3.600000000000000e+02     8.946275286301030e-01
     5.000000000000000e+00     3.600000000000000e+02     8.973783138478390e-01
     1.000000000000000e+01     3.600000000000000e+02     9.054279267026010e-01
     1.500000000000000e+01     3.600000000000000e+02     9.181293274550210e-01
     2.000000000000000e+01     3.600000000000000e+02     9.343004571895180e-01
     2.500000000000000e+01     3.600000000000000e+02     9.521637932252290e-01
     3.000000000000000e+01     3.600000000000000e+02     9.694536180251070e-01
     3.500000000000000e+01     3.600000000000000e+02     9.838311959596980e-01
     4.000000000000000e+01     3.600000000000000e+02     9.936120370817210e-01
     4.500000000000000e+01     3.600000000000000e+02     9.985187354839870e-01
     5.000000000000000e+01     3.600000000000000e+02     9.999137646065900e-01
     5.500000000000000e+01     3.600000000000000e+02     9.999997674419990e-01
     6.000000000000000e+01     3.600000000000000e+02     9.997029567623630e-01
     6.500000000000000e+01     3.600000000000000e+02     9.948118307502311e-01
     7.000000000000000e+01     3.600000000000000e+02     9.690183142964230e-01
     7.500000000000000e+01     3.600000000000000e+02     8.819341800667550e-01
     8.000000000000000e+01     3.600000000000000e+02     6.596345896315951e-01
     8.500000000000000e+01     3.600000000000000e+02     2.641403915408470e-01
     9.000000000000000e+01     3.600000000000000e+02     1.000000000000000e-06
