theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.0921
5	0	0.0979
10	0	0.1160
15	0	0.1483
20	0	0.1968
25	0	0.2620
30	0	0.3416
35	0	0.4303
40	0	0.5212
45	0	0.6081
50	0	0.6870
55	0	0.7564
60	0	0.8165
65	0	0.8681
70	0	0.9121
75	0	0.9485
80	0	0.9763
85	0	0.9939
90	0	1.0
0	360	0.0921
5	360	0.0979
10	360	0.1160
15	360	0.1483
20	360	0.1968
25	360	0.2620
30	360	0.3416
35	360	0.4303
40	360	0.5212
45	360	0.6081
50	360	0.6870
55	360	0.7564
60	360	0.8165
65	360	0.8681
70	360	0.9121
75	360	0.9485
80	360	0.9763
85	360	0.9939
90	360	1.0
