theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.9079
5	0	0.9021
10	0	0.8840
15	0	0.8517
20	0	0.8032
25	0	0.7380
30	0	0.6584
35	0	0.5697
40	0	0.4788
45	0	0.3919
50	0	0.3130
55	0	0.2436
60	0	0.1835
65	0	0.1319
70	0	0.0879
75	0	0.0515
80	0	0.0237
85	0	0.0061
90	0	1e-6
0	360	0.9079
5	360	0.9021
10	360	0.8840
15	360	0.8517
20	360	0.8032
25	360	0.7380
30	360	0.6584
35	360	0.5697
40	360	0.4788
45	360	0.3919
50	360	0.3130
55	360	0.2436
60	360	0.1835
65	360	0.1319
70	360	0.0879
75	360	0.0515
80	360	0.0237
85	360	0.0061
90	360	1e-6
