theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.0921
5	0	0.0963
10	0	0.1088
15	0	0.1289
20	0	0.1544
25	0	0.1820
30	0	0.2066
35	0	0.2229
40	0	0.2261
45	0	0.2122
50	0	0.1792
55	0	0.1277
60	0	0.0650
65	0	0.0113
70	0	0.0094
75	0	0.1261
80	0	0.4155
85	0	0.8027
90	0	1
0	360	0.0921
5	360	0.0963
10	360	0.1088
15	360	0.1289
20	360	0.1544
25	360	0.1820
30	360	0.2066
35	360	0.2229
40	360	0.2261
45	360	0.2122
50	360	0.1792
55	360	0.1277
60	360	0.0650
65	360	0.0113
70	360	0.0094
75	360	0.1261
80	360	0.4155
85	360	0.8027
90	360	1
