theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.9079
5	0	0.9037
10	0	0.8912
15	0	0.8711
20	0	0.8456
25	0	0.8180
30	0	0.7934
35	0	0.7771
40	0	0.7739
45	0	0.7878
50	0	0.8208
55	0	0.8723
60	0	0.9350
65	0	0.9887
70	0	0.9906
75	0	0.8739
80	0	0.5845
85	0	0.1973
90	0	0
0	360	0.9079
5	360	0.9037
10	360	0.8912
15	360	0.8711
20	360	0.8456
25	360	0.8180
30	360	0.7934
35	360	0.7771
40	360	0.7739
45	360	0.7878
50	360	0.8208
55	360	0.8723
60	360	0.9350
65	360	0.9887
70	360	0.9906
75	360	0.8739
80	360	0.5845
85	360	0.1973
90	360	0
