theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.1679
5	0	0.1698
10	0	0.1762
15	0	0.1870
20	0	0.2022
25	0	0.2221
30	0	0.2460
35	0	0.2722
40	0	0.2991
45	0	0.3261
50	0	0.3530
55	0	0.3823
60	0	0.4169
65	0	0.4618
70	0	0.5218
75	0	0.6019
80	0	0.7052
85	0	0.8374
90	0	1.0
0	360	0.1679
5	360	0.1698
10	360	0.1762
15	360	0.1870
20	360	0.2022
25	360	0.2221
30	360	0.2460
35	360	0.2722
40	360	0.2991
45	360	0.3261
50	360	0.3530
55	360	0.3823
60	360	0.4169
65	360	0.4618
70	360	0.5218
75	360	0.6019
80	360	0.7052
85	360	0.8374
90	360	1.0
