theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.1565
5	0	0.1577
10	0	0.1620
15	0	0.1694
20	0	0.1803
25	0	0.1953
30	0	0.2150
35	0	0.2399
40	0	0.2704
45	0	0.3065
50	0	0.3487
55	0	0.3972
60	0	0.4522
65	0	0.5155
70	0	0.5875
75	0	0.6705
80	0	0.7664
85	0	0.8761
90	0	1.0
0	360	0.1565
5	360	0.1577
10	360	0.1620
15	360	0.1694
20	360	0.1803
25	360	0.1953
30	360	0.2150
35	360	0.2399
40	360	0.2704
45	360	0.3065
50	360	0.3487
55	360	0.3972
60	360	0.4522
65	360	0.5155
70	360	0.5875
75	360	0.6705
80	360	0.7664
85	360	0.8761
90	360	1.0
