theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.0690
5	0	0.0690
10	0	0.0676
15	0	0.0659
20	0	0.0634
25	0	0.0602
30	0	0.0564
35	0	0.0523
40	0	0.0479
45	0	0.0435
50	0	0.0389
55	0	0.0343
60	0	0.0293
65	0	0.0239
70	0	0.0181
75	0	0.0120
80	0	0.0064
85	0	0.0016
90	0	1e-16
0	360	0.0690
5	360	0.0690
10	360	0.0676
15	360	0.0659
20	360	0.0634
25	360	0.0602
30	360	0.0564
35	360	0.0523
40	360	0.0479
45	360	0.0435
50	360	0.0389
55	360	0.0343
60	360	0.0293
65	360	0.0239
70	360	0.0181
75	360	0.0120
80	360	0.0064
85	360	0.0016
90	360	1e-16
