theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.0702
5	0	0.0699
10	0	0.0690
15	0	0.0674
20	0	0.0653
25	0	0.0625
30	0	0.0590
35	0	0.0550
40	0	0.0503
45	0	0.0453
50	0	0.0398
55	0	0.0340
60	0	0.0279
65	0	0.0218
70	0	0.0158
75	0	0.0100
80	0	0.0050
85	0	0.0014
90	0	1e-16
0	360	0.0702
5	360	0.0699
10	360	0.0690
15	360	0.0674
20	360	0.0653
25	360	0.0625
30	360	0.0590
35	360	0.0550
40	360	0.0503
45	360	0.0453
50	360	0.0398
55	360	0.0340
60	360	0.0279
65	360	0.0218
70	360	0.0158
75	360	0.0100
80	360	0.0050
85	360	0.0014
90	360	1e-16
