theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.1680
5	0	0.1678
10	0	0.1678
15	0	0.1670
20	0	0.1651
25	0	0.1612
30	0	0.1537
35	0	0.1410
40	0	0.1224
45	0	0.0982
50	0	0.0705
55	0	0.0428
60	0	0.0189
65	0	0.0032
70	0	0.0023
75	0	0.0298
80	0	0.1171
85	0	0.3504
90	0	1.0
0	360	0.1680
5	360	0.1678
10	360	0.1678
15	360	0.1670
20	360	0.1651
25	360	0.1612
30	360	0.1537
35	360	0.1410
40	360	0.1224
45	360	0.0982
50	360	0.0705
55	360	0.0428
60	360	0.0189
65	360	0.0032
70	360	0.0023
75	360	0.0298
80	360	0.1171
85	360	0.3504
90	360	1.0
