theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.1565
5	0	0.1556
10	0	0.1539
15	0	0.1508
20	0	0.1463
25	0	0.1402
30	0	0.1322
35	0	0.1217
40	0	0.1079
45	0	0.0903
50	0	0.0693
55	0	0.0457
60	0	0.0223
65	0	0.0047
70	0	0.0037
75	0	0.0395
80	0	0.1532
85	0	0.4250
90	0	1.0
0	360	0.1565
5	360	0.1556
10	360	0.1539
15	360	0.1508
20	360	0.1463
25	360	0.1402
30	360	0.1322
35	360	0.1217
40	360	0.1079
45	360	0.0903
50	360	0.0693
55	360	0.0457
60	360	0.0223
65	360	0.0047
70	360	0.0037
75	360	0.0395
80	360	0.1532
85	360	0.4250
90	360	1.0
