theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.0689
5	0	0.0690
10	0	0.0690
15	0	0.0691
20	0	0.0693
25	0	0.0695
30	0	0.0701
35	0	0.0712
40	0	0.0728
45	0	0.0750
50	0	0.0776
55	0	0.0803
60	0	0.0825
65	0	0.0838
70	0	0.0827
75	0	0.0767
80	0	0.0626
85	0	0.0289
90	0	1e-16
0	360	0.0689
5	360	0.0690
10	360	0.0690
15	360	0.0691
20	360	0.0693
25	360	0.0695
30	360	0.0701
35	360	0.0712
40	360	0.0728
45	360	0.0750
50	360	0.0776
55	360	0.0803
60	360	0.0825
65	360	0.0838
70	360	0.0827
75	360	0.0767
80	360	0.0626
85	360	0.0289
90	360	1e-16
