theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.0703
5	0	0.0704
10	0	0.0704
15	0	0.0708
20	0	0.0712
25	0	0.0716
30	0	0.0721
35	0	0.0733
40	0	0.0745
45	0	0.0762
50	0	0.0781
55	0	0.0804
60	0	0.0828
65	0	0.0842
70	0	0.0829
75	0	0.0766
80	0	0.0598
85	0	0.0281
90	0	0
0	360	0.0703
5	360	0.0704
10	360	0.0704
15	360	0.0708
20	360	0.0712
25	360	0.0716
30	360	0.0721
35	360	0.0733
40	360	0.0745
45	360	0.0762
50	360	0.0781
55	360	0.0804
60	360	0.0828
65	360	0.0842
70	360	0.0829
75	360	0.0766
80	360	0.0598
85	360	0.0281
90	360	0
