theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.786
5	0	0.786
10	0	0.786
15	0	0.786
20	0	0.786
25	0	0.786
30	0	0.786
35	0	0.786
40	0	0.786
45	0	0.786
50	0	0.786
55	0	0.786
60	0	0.786
65	0	0.786
70	0	0.786
75	0	0.786
80	0	0.786
85	0	0.786
90	0	0.786
0	360	0.786
5	360	0.786
10	360	0.786
15	360	0.786
20	360	0.786
25	360	0.786
30	360	0.786
35	360	0.786
40	360	0.786
45	360	0.786
50	360	0.786
55	360	0.786
60	360	0.786
65	360	0.786
70	360	0.786
75	360	0.786
80	360	0.786
85	360	0.786
90	360	0.786
