theta	phi	gain
(deg)	(deg)

---------------------------------

0	0	4.52000000000000
2	0	4.67700000000000
4	0	4.49300000000000
6	0	4.00200000000000
8	0	4.30300000000000
10	0	4.92300000000000
12	0	4.69900000000000
14	0	4.28000000000000
16	0	4.11400000000000
18	0	3.65300000000000
20	0	3.40900000000000
22	0	4.05600000000000
24	0	4.68400000000000
26	0	4.29300000000000
28	0	3.61400000000000
30	0	3.23400000000000
32	0	2.85800000000000
34	0	2.63700000000000
36	0	3
38	0	3.46100000000000
40	0	3.14800000000000
42	0	2.31600000000000
44	0	1.88100000000000
46	0	1.99300000000000
48	0	2.15300000000000
50	0	2.04000000000000
52	0	1.73900000000000
54	0	1.40300000000000
56	0	1.05100000000000
58	0	0.686800000000000
60	0	0.430300000000000
62	0	0.402300000000000
64	0	0.566900000000000
66	0	0.770300000000000
68	0	0.882900000000000
70	0	0.865000000000000
72	0	0.750100000000000
74	0	0.597000000000000
76	0	0.450200000000000
78	0	0.327800000000000
80	0	0.231400000000000
82	0	0.157200000000000
84	0	0.101400000000000
86	0	0.0612300000000000
88	0	0.0341700000000000
90	0	0.0175400000000000
92	0	0.00811000000000000
94	0	0.00277600000000000
96	0	0.000240300000000000
98	0	0.00278800000000000
100	0	0.0161100000000000
102	0	0.0458400000000000
104	0	0.0918000000000000
106	0	0.142500000000000
108	0	0.174600000000000
110	0	0.164400000000000
112	0	0.110000000000000
114	0	0.0432300000000000
116	0	0.0150000000000000
118	0	0.0604500000000000
120	0	0.167800000000000
122	0	0.275800000000000
124	0	0.315900000000000
126	0	0.284100000000000
128	0	0.259900000000000
130	0	0.273900000000000
132	0	0.219100000000000
134	0	0.0730800000000000
136	0	0.0122000000000000
138	0	0.128100000000000
140	0	0.304300000000000
142	0	0.392900000000000
144	0	0.310000000000000
146	0	0.127700000000000
148	0	0.0117900000000000
150	0	0.0460300000000000
152	0	0.302600000000000
154	0	0.449100000000000
156	0	0.261000000000000
158	0	0.0839500000000000
160	0	0.0202800000000000
162	0	0.0516900000000000
164	0	0.284600000000000
166	0	0.679500000000000
168	0	0.759400000000000
170	0	0.371900000000000
172	0	0.0969600000000000
174	0	0.0819600000000000
176	0	0.291900000000000
178	0	0.758900000000000
180	0	1.04100000000000
0	2	4.52000000000000
2	2	4.67700000000000
4	2	4.49300000000000
6	2	4.00100000000000
8	2	4.29900000000000
10	2	4.92200000000000
12	2	4.70100000000000
14	2	4.27900000000000
16	2	4.10900000000000
18	2	3.64300000000000
20	2	3.39100000000000
22	2	4.04000000000000
24	2	4.68700000000000
26	2	4.30600000000000
28	2	3.61300000000000
30	2	3.21100000000000
32	2	2.81800000000000
34	2	2.58500000000000
36	2	2.95300000000000
38	2	3.46000000000000
40	2	3.20700000000000
42	2	2.39500000000000
44	2	1.93700000000000
46	2	2.01000000000000
48	2	2.13100000000000
50	2	1.99200000000000
52	2	1.68000000000000
54	2	1.35500000000000
56	2	1.03600000000000
58	2	0.713700000000000
60	2	0.486700000000000
62	2	0.466300000000000
64	2	0.620200000000000
66	2	0.807400000000000
68	2	0.906800000000000
70	2	0.879400000000000
72	2	0.757400000000000
74	2	0.600400000000000
76	2	0.453500000000000
78	2	0.333800000000000
80	2	0.241700000000000
82	2	0.172100000000000
84	2	0.120700000000000
86	2	0.0838400000000000
88	2	0.0588200000000000
90	2	0.0426000000000000
92	2	0.0316700000000000
94	2	0.0226300000000000
96	2	0.0137800000000000
98	2	0.00718200000000000
100	2	0.00895900000000000
102	2	0.0264400000000000
104	2	0.0626300000000000
106	2	0.110000000000000
108	2	0.147400000000000
110	2	0.148700000000000
112	2	0.104100000000000
114	2	0.0394100000000000
116	2	0.00846600000000000
118	2	0.0568600000000000
120	2	0.176400000000000
122	2	0.293900000000000
124	2	0.327200000000000
126	2	0.275900000000000
128	2	0.231100000000000
130	2	0.231000000000000
132	2	0.182700000000000
134	2	0.0606100000000000
136	2	0.0106700000000000
138	2	0.123400000000000
140	2	0.301100000000000
142	2	0.386200000000000
144	2	0.292100000000000
146	2	0.112400000000000
148	2	0.00847200000000000
150	2	0.0486400000000000
152	2	0.296100000000000
154	2	0.435400000000000
156	2	0.255900000000000
158	2	0.0842500000000000
160	2	0.0197900000000000
162	2	0.0519200000000000
164	2	0.285000000000000
166	2	0.676500000000000
168	2	0.754600000000000
170	2	0.369500000000000
172	2	0.0964500000000000
174	2	0.0818500000000000
176	2	0.292200000000000
178	2	0.759400000000000
180	2	1.04100000000000
0	4	4.52000000000000
2	4	4.67600000000000
4	4	4.49300000000000
6	4	3.99900000000000
8	4	4.28900000000000
10	4	4.91500000000000
12	4	4.70400000000000
14	4	4.27500000000000
16	4	4.09600000000000
18	4	3.62100000000000
20	4	3.34900000000000
22	4	3.99500000000000
24	4	4.68700000000000
26	4	4.34000000000000
28	4	3.61400000000000
30	4	3.15700000000000
32	4	2.72400000000000
34	4	2.46100000000000
36	4	2.83000000000000
38	4	3.44500000000000
40	4	3.35100000000000
42	4	2.60400000000000
44	4	2.09200000000000
46	4	2.06600000000000
48	4	2.09500000000000
50	4	1.89300000000000
52	4	1.54900000000000
54	4	1.23000000000000
56	4	0.973900000000000
58	4	0.754700000000000
60	4	0.619000000000000
62	4	0.629700000000000
64	4	0.752100000000000
66	4	0.878700000000000
68	4	0.923900000000000
70	4	0.865700000000000
72	4	0.736000000000000
74	4	0.585900000000000
76	4	0.450400000000000
78	4	0.340600000000000
80	4	0.254600000000000
82	4	0.188000000000000
84	4	0.138200000000000
86	4	0.103100000000000
88	4	0.0807600000000000
90	4	0.0681500000000000
92	4	0.0610800000000000
94	4	0.0546300000000000
96	4	0.0449500000000000
98	4	0.0318400000000000
100	4	0.0201200000000000
102	4	0.0184100000000000
104	4	0.0350400000000000
106	4	0.0713700000000000
108	4	0.114300000000000
110	4	0.136600000000000
112	4	0.114200000000000
114	4	0.0555400000000000
116	4	0.0133300000000000
118	4	0.0493200000000000
120	4	0.165500000000000
122	4	0.278400000000000
124	4	0.296100000000000
126	4	0.226200000000000
128	4	0.162000000000000
130	4	0.143500000000000
