theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.0683
5	0	0.0734
10	0	0.0897
15	0	0.1197
20	0	0.1660
25	0	0.2300
30	0	0.3094
35	0	0.3975
40	0	0.4853
45	0	0.5650
50	0	0.6320
55	0	0.6852
60	0	0.7264
65	0	0.7595
70	0	0.7905
75	0	0.8288
80	0	0.8859
85	0	0.9595
90	0	1
0	360	0.0683
5	360	0.0734
10	360	0.0897
15	360	0.1197
20	360	0.1660
25	360	0.2300
30	360	0.3094
35	360	0.3975
40	360	0.4853
45	360	0.5650
50	360	0.6320
55	360	0.6852
60	360	0.7264
65	360	0.7595
70	360	0.7905
75	360	0.8288
80	360	0.8859
85	360	0.9595
90	360	1
