theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.9317
5	0	0.9266
10	0	0.9103
15	0	0.8803
20	0	0.8340
25	0	0.7700
30	0	0.6906
35	0	0.6025
40	0	0.5147
45	0	0.4350
50	0	0.3680
55	0	0.3148
60	0	0.2736
65	0	0.2405
70	0	0.2095
75	0	0.1712
80	0	0.1141
85	0	0.0405
90	0	1e-16
0	360	0.9317
5	360	0.9266
10	360	0.9103
15	360	0.8803
20	360	0.8340
25	360	0.7700
30	360	0.6906
35	360	0.6025
40	360	0.5147
45	360	0.4350
50	360	0.3680
55	360	0.3148
60	360	0.2736
65	360	0.2405
70	360	0.2095
75	360	0.1712
80	360	0.1141
85	360	0.0405
90	360	1e-16
