theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.0683
5	0	0.0719
10	0	0.0826
15	0	0.0993
20	0	0.1190
25	0	0.1369
30	0	0.1459
35	0	0.1395
40	0	0.1132
45	0	0.0697
50	0	0.0237
55	0	0.0003
60	0	0.0145
65	0	0.0499
70	0	0.0708
75	0	0.0522
80	0	0.0055
85	0	0.0917
90	0	1
0	360	0.0683
5	360	0.0719
10	360	0.0826
15	360	0.0993
20	360	0.1190
25	360	0.1369
30	360	0.1459
35	360	0.1395
40	360	0.1132
45	360	0.0697
50	360	0.0237
55	360	0.0003
60	360	0.0145
65	360	0.0499
70	360	0.0708
75	360	0.0522
80	360	0.0055
85	360	0.0917
90	360	1
