theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.9317
5	0	0.9281
10	0	0.9174
15	0	0.9007
20	0	0.8810
25	0	0.8631
30	0	0.8541
35	0	0.8605
40	0	0.8868
45	0	0.9303
50	0	0.9763
55	0	0.9997
60	0	0.9855
65	0	0.9501
70	0	0.9292
75	0	0.9478
80	0	0.9945
85	0	0.9083
90	0	1e-16
0	360	0.9317
5	360	0.9281
10	360	0.9174
15	360	0.9007
20	360	0.8810
25	360	0.8631
30	360	0.8541
35	360	0.8605
40	360	0.8868
45	360	0.9303
50	360	0.9763
55	360	0.9997
60	360	0.9855
65	360	0.9501
70	360	0.9292
75	360	0.9478
80	360	0.9945
85	360	0.9083
90	360	1e-16
