theta	phi	gain
(deg)	(deg)

---------------------------------

 0 0 0
 1 0 0.0001879128757844107
 2 0 0.0007517657899960384
 3 0 0.001691900460862379
 4 0 0.003008882611267799
 5 0 0.00470349625877066
 6 0 0.006776735724288186
 7 0 0.009229795362500971
 8 0 0.01206405701843809
 9 0 0.01528107521650932
 10 0 0.01888256009055328
 11 0 0.02287035806631377
 12 0 0.02724643031126004
 13 0 0.03201282897084767
 14 0 0.03717167121527225
 15 0 0.04272511112656183
 16 0 0.0486753094624747
 17 0 0.05502440134123614
 18 0 0.06177446189961658
 19 0 0.06892746998629187
 20 0 0.07648526996281353
 21 0 0.08444953169584218
 22 0 0.09282170883658626
 23 0 0.1016029954965273
 24 0 0.1107942814425429
 25 0 0.1203961059493188
 26 0 0.1304086104624554
 27 0 0.1408314902417634
 28 0 0.1516639451708695
 29 0 0.1629046299362033
 30 0 0.1745516037956438
 31 0 0.1866022801743607
 32 0 0.1990533763425023
 33 0 0.2119008634462459
 34 0 0.2251399171800214
 35 0 0.2387648694033063
 36 0 0.2527691610200449
 37 0 0.2671452964521471
 38 0 0.2818848000505443
 39 0 0.296978174797584
 40 0 0.3124148636629167
 41 0 0.3281832139812351
 42 0 0.344270445224002
 43 0 0.3606626205384119
 44 0 0.3773446224250897
 45 0 0.3943001329211868
 46 0 0.4115116186474351
 47 0 0.4289603210661928
 48 0 0.4466262522824195
 49 0 0.4644881967007723
 50 0 0.482523718829532
 51 0 0.5007091774958178
 52 0 0.5190197467065603
 53 0 0.5374294433560222
 54 0 0.5559111619433728
 55 0 0.5744367164231168
 56 0 0.5929768892672082
 57 0 0.6115014877707466
 58 0 0.629979407583487
 59 0 0.6483787033974134
 60 0 0.6666666666666669
 61 0 0.6848099101806339
 62 0 0.7027744592544997
 63 0 0.7205258492445
 64 0 0.7380292290380768
 65 0 0.7552494701126992
 66 0 0.772151280701828
 67 0 0.7886993245530209
 68 0 0.8048583437120795
 69 0 0.8205932847190415
 70 0 0.835869427557336
 71 0 0.8506525166571018
 72 0 0.8649088932180895
 73 0 0.8786056280872356
 74 0 0.8917106544014011
 75 0 0.9041928991872885
 76 0 0.9160224130986219
 77 0 0.9271704974655249
 78 0 0.9376098278329335
 79 0 0.9473145731739703
 80 0 0.9562605099805597
 81 0 0.9644251304571628
 82 0 0.9717877440742678
 83 0 0.9783295717760012
 84 0 0.9840338321806614
 85 0 0.9888858191637732
 86 0 0.9928729702699816
 87 0 0.9959849254622558
 88 0 0.998213575783891
 89 0 0.9995531015800049
 90 0 1
 91 0 0.9995531015800049
 92 0 0.998213575783891
 93 0 0.9959849254622558
 94 0 0.9928729702699816
 95 0 0.9888858191637732
 96 0 0.9840338321806614
 97 0 0.9783295717760012
 98 0 0.9717877440742678
 99 0 0.9644251304571628
 100 0 0.9562605099805597
 101 0 0.9473145731739703
 102 0 0.9376098278329335
 103 0 0.9271704974655249
 104 0 0.9160224130986219
 105 0 0.9041928991872885
 106 0 0.8917106544014011
 107 0 0.8786056280872356
 108 0 0.8649088932180895
 109 0 0.8506525166571018
 110 0 0.835869427557336
 111 0 0.8205932847190415
 112 0 0.8048583437120795
 113 0 0.7886993245530209
 114 0 0.772151280701828
 115 0 0.7552494701126992
 116 0 0.7380292290380768
 117 0 0.7205258492445
 118 0 0.7027744592544997
 119 0 0.6848099101806339
 120 0 0.6666666666666669
 121 0 0.6483787033974134
 122 0 0.629979407583487
 123 0 0.6115014877707466
 124 0 0.5929768892672082
 125 0 0.5744367164231168
 126 0 0.5559111619433728
 127 0 0.5374294433560222
 128 0 0.5190197467065603
 129 0 0.5007091774958178
 130 0 0.482523718829532
 131 0 0.4644881967007723
 132 0 0.4466262522824195
 133 0 0.4289603210661928
 134 0 0.4115116186474351
 135 0 0.3943001329211868
 136 0 0.3773446224250897
 137 0 0.3606626205384119
 138 0 0.344270445224002
 139 0 0.3281832139812351
 140 0 0.3124148636629167
 141 0 0.296978174797584
 142 0 0.2818848000505443
 143 0 0.2671452964521471
 144 0 0.2527691610200449
 145 0 0.2387648694033063
 146 0 0.2251399171800214
 147 0 0.2119008634462459
 148 0 0.1990533763425023
 149 0 0.1866022801743607
 150 0 0.1745516037956438
 151 0 0.1629046299362033
 152 0 0.1516639451708695
 153 0 0.1408314902417634
 154 0 0.1304086104624554
 155 0 0.1203961059493188
 156 0 0.1107942814425429
 157 0 0.1016029954965273
 158 0 0.09282170883658626
 159 0 0.08444953169584218
 160 0 0.07648526996281353
 161 0 0.06892746998629187
 162 0 0.06177446189961658
 163 0 0.05502440134123614
 164 0 0.0486753094624747
 165 0 0.04272511112656183
 166 0 0.03717167121527225
 167 0 0.03201282897084767
 168 0 0.02724643031126004
 169 0 0.02287035806631377
 170 0 0.01888256009055328
 171 0 0.01528107521650932
 172 0 0.01206405701843809
 173 0 0.009229795362500971
 174 0 0.006776735724288186
 175 0 0.00470349625877066
 176 0 0.003008882611267799
 177 0 0.001691900460862379
 178 0 0.0007517657899960384
 179 0 0.0001879128757844107
 180 0 0
 0 1 0
 1 1 0.0001879128757844107
 2 1 0.0007517657899960384
 3 1 0.001691900460862379
 4 1 0.003008882611267799
 5 1 0.00470349625877066
 6 1 0.006776735724288186
 7 1 0.009229795362500971
 8 1 0.01206405701843809
 9 1 0.01528107521650932
 10 1 0.01888256009055328
 11 1 0.02287035806631377
 12 1 0.02724643031126004
 13 1 0.03201282897084767
 14 1 0.03717167121527225
 15 1 0.04272511112656183
 16 1 0.0486753094624747
 17 1 0.05502440134123614
 18 1 0.06177446189961658
 19 1 0.06892746998629187
 20 1 0.07648526996281353
 21 1 0.08444953169584218
 22 1 0.09282170883658626
 23 1 0.1016029954965273
 24 1 0.1107942814425429
 25 1 0.1203961059493188
 26 1 0.1304086104624554
 27 1 0.1408314902417634
 28 1 0.1516639451708695
 29 1 0.1629046299362033
 30 1 0.1745516037956438
 31 1 0.1866022801743607
 32 1 0.1990533763425023
 33 1 0.2119008634462459
 34 1 0.2251399171800214
 35 1 0.2387648694033063
 36 1 0.2527691610200449
 37 1 0.2671452964521471
