theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.0316212720000000
0	5	0.0330189950000000
0	10	0.0315067670000000
0	15	0.0309020340000000
0	20	0.0314240340000000
0	25	0.0317503050000000
0	30	0.0327842090000000
0	35	0.0592125250000000
0	40	0.0604315610000000
0	45	0.0554669660000000
0	50	0.0517265330000000
0	55	0.0488814130000000
0	60	0.0460681910000000
0	65	0.0431596700000000
0	70	0.0638534780000000
0	75	0.101339290000000
0	80	0.101329040000000
0	85	0.103192190000000
0	90	0.0619045330000000
5	0	0.126314760000000
5	5	0.130463150000000
5	10	0.101358450000000
5	15	0.0633124520000000
5	20	0.0623057220000000
5	25	0.0598601440000000
5	30	0.107279370000000
5	35	0.0599130620000000
5	40	0.0633063940000000
5	45	0.0621073160000000
5	50	0.0618118850000000
5	55	0.0598428340000000
5	60	0.0621002590000000
5	65	0.0571544510000000
5	70	0.0565865950000000
5	75	0.0547801170000000
5	80	0.142879490000000
5	85	0.139634720000000
5	90	0.133016800000000
10	0	0.121865200000000
10	5	0.110358000000000
10	10	0.0966786560000000
10	15	0.0823309300000000
10	20	0.281797470000000
10	25	0.299610590000000
10	30	0.368747860000000
10	35	0.493151660000000
10	40	0.627433790000000
10	45	0.581201050000000
10	50	0.383997940000000
10	55	0.0114378350000000
10	60	0.0145134970000000
10	65	0.0138965740000000
10	70	0.0165751030000000
10	75	0.00474946890000000
10	80	0.00302385260000000
10	85	0.0524014970000000
10	90	0.00482006730000000
15	0	0.00553208070000000
15	5	0.00475586970000000
15	10	0.00705495710000000
15	15	0.0189952090000000
15	20	0.0304989770000000
15	25	0.00821682910000000
15	30	0.0554685000000000
15	35	0.0317872990000000
15	40	0.0436684380000000
15	45	0.0133085420000000
15	50	0.0231410140000000
15	55	0.00976785700000000
15	60	0.0114434350000000
15	65	0.0300610930000000
15	70	0.0424531130000000
15	75	0.0240811680000000
15	80	0.0665833970000000
15	85	0.0114277710000000
15	90	0.0158687030000000
20	0	0.0140564150000000
20	5	0.0409307250000000
20	10	0.0402658100000000
20	15	0.0348470940000000
20	20	0.0378832130000000
20	25	0.0635748590000000
20	30	0.0345058490000000
20	35	0.0294452360000000
20	40	0.0695776050000000
20	45	0.0688350970000000
20	50	0.0697366410000000
20	55	0.0681529540000000
20	60	0.0672533690000000
20	65	0.0902122860000000
20	70	0.0625461780000000
20	75	0.130517380000000
20	80	0.129667670000000
20	85	0.130053020000000
20	90	0.128739960000000
25	0	0.129363140000000
25	5	0.165244440000000
25	10	0.125609610000000
25	15	0.237374470000000
25	20	0.237135290000000
25	25	0.236536490000000
25	30	0.236599890000000
25	35	0.235769690000000
25	40	0.246575380000000
25	45	0.240051940000000
25	50	0.403425360000000
25	55	0.403439090000000
25	60	0.402390170000000
25	65	0.403192330000000
25	70	0.401420290000000
25	75	0.405539660000000
25	80	0.413420000000000
25	85	0.627251420000000
25	90	0.626430900000000
30	0	0.626666680000000
30	5	0.625258300000000
30	10	0.625595590000000
30	15	0.625928250000000
30	20	0.633090310000000
30	25	0.998790340000000
30	30	0.998783440000000
30	35	0.998790950000000
30	40	0.857880650000000
30	45	0.998800550000000
30	50	0.858719580000000
30	55	0.998690310000000
30	60	0.858890680000000
30	65	0.858255030000000
30	70	0.858061650000000
30	75	0.998789660000000
30	80	0.858532210000000
30	85	0.998815170000000
30	90	0.858945000000000
35	0	0.0365770260000000
35	5	0.0384385060000000
35	10	0.0365839050000000
35	15	0.0394894120000000
35	20	0.0352957750000000
35	25	0.0387975550000000
35	30	0.0417000130000000
35	35	0.0374520650000000
35	40	0.0365720650000000
35	45	0.0403473650000000
35	50	0.0389526940000000
35	55	0.0399997120000000
35	60	0.135546010000000
35	65	0.148803970000000
35	70	0.125595130000000
35	75	0.0662390350000000
35	80	0.0458614340000000
35	85	0.0405768820000000
35	90	0.0620495510000000
40	0	0.0602084030000000
40	5	0.0552832220000000
40	10	0.0965908150000000
40	15	0.0751579170000000
40	20	0.0477851740000000
40	25	0.0582397810000000
40	30	0.0555060230000000
40	35	0.0504036630000000
40	40	0.0429800490000000
40	45	0.0742701580000000
40	50	0.0536452210000000
40	55	0.0689064910000000
40	60	0.0602876550000000
40	65	0.0536867470000000
40	70	0.0504379780000000
40	75	0.0354080780000000
40	80	0.0656979480000000
40	85	0.229499800000000
40	90	0.164494170000000
45	0	0.101868130000000
45	5	0.0727877580000000
45	10	0.0535297100000000
45	15	0.0979224730000000
45	20	0.102482280000000
45	25	0.238368050000000
45	30	0.526356310000000
45	35	0.336294470000000
45	40	0.177651530000000
45	45	0.0663340100000000
45	50	0.0166393460000000
45	55	0.0295062610000000
45	60	0.0530963280000000
45	65	0.108264710000000
45	70	0.302905190000000
45	75	0.406520980000000
45	80	0.0130983440000000
45	85	0.0129858180000000
45	90	0.0257318030000000
50	0	0.0441801350000000
50	5	0.0793178340000000
50	10	0.190794810000000
50	15	0.0189859130000000
50	20	0.0200940360000000
50	25	0.0253472800000000
50	30	0.0364092860000000
50	35	0.0625726470000000
50	40	0.0847494500000000
50	45	0.0332323990000000
50	50	0.0389558900000000
50	55	0.0423960790000000
50	60	0.0488702030000000
50	65	0.0771395420000000
50	70	0.0743655380000000
50	75	0.0650737980000000
50	80	0.0697592430000000
50	85	0.0746608540000000
50	90	0.0853423630000000
55	0	0.120081140000000
55	5	0.109218240000000
55	10	0.124961570000000
55	15	0.131947520000000
55	20	0.139675760000000
55	25	0.151084900000000
55	30	0.197134570000000
55	35	0.173071730000000
55	40	0.236072810000000
55	45	0.241820220000000
55	50	0.249464280000000
55	55	0.261999980000000
55	60	0.324433800000000
55	65	0.284055060000000
55	70	0.401699820000000
55	75	0.408611850000000
55	80	0.416912530000000
55	85	0.427778550000000
55	90	0.500800150000000
60	0	0.449269180000000
60	5	0.626549530000000
60	10	0.632525460000000
60	15	0.637844960000000
60	20	0.645674290000000
60	25	0.705120360000000
60	30	0.665679060000000
60	35	0.859201020000000
60	40	0.862229960000000
60	45	0.864497820000000
60	50	0.867583080000000
60	55	0.890130460000000
60	60	0.881723070000000
