theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.162199690000000
0	5	0.160138380000000
0	10	0.161565150000000
0	15	0.161538230000000
0	20	0.162623510000000
0	25	0.159024110000000
0	30	0.166181540000000
0	35	0.206120800000000
0	40	0.207697270000000
0	45	0.206461610000000
0	50	0.204276760000000
0	55	0.206935700000000
0	60	0.205644040000000
0	65	0.204822740000000
0	70	0.153880040000000
0	75	0.158068350000000
0	80	0.153590360000000
0	85	0.154484900000000
0	90	0.154701890000000
5	0	0.160794790000000
5	5	0.167428340000000
5	10	0.166162470000000
5	15	0.164833060000000
5	20	0.164452830000000
5	25	0.150970920000000
5	30	0.141640520000000
5	35	0.144203470000000
5	40	0.153699150000000
5	45	0.192402100000000
5	50	0.191273370000000
5	55	0.185992200000000
5	60	0.189114970000000
5	65	0.172400430000000
5	70	0.188912040000000
5	75	0.175894270000000
5	80	0.0711488160000000
5	85	0.0687206850000000
5	90	0.0883092150000000
10	0	0.0773216890000000
10	5	0.0656564880000000
10	10	0.0981168310000000
10	15	0.115597390000000
10	20	0.0684159990000000
10	25	0.0663547640000000
10	30	0.0874649930000000
10	35	0.0624497010000000
10	40	0.0668571120000000
10	45	0.0490099980000000
10	50	0.136345850000000
10	55	0.0690867420000000
10	60	0.124456170000000
10	65	0.121805130000000
10	70	0.119587620000000
10	75	0.132740830000000
10	80	0.108882780000000
10	85	0.133915920000000
10	90	0.0814722610000000
15	0	0.0972632930000000
15	5	0.142162770000000
15	10	0.162409340000000
15	15	0.269905390000000
15	20	0.164893200000000
15	25	0.273500410000000
15	30	0.0221931660000000
15	35	0.0174484070000000
15	40	0.0116677390000000
15	45	0.0194783180000000
15	50	0.0607081040000000
15	55	0.0438924220000000
15	60	0.0563971080000000
15	65	0.609816490000000
15	70	0.566789380000000
15	75	0.422911710000000
15	80	0.473380630000000
15	85	0.254872510000000
15	90	0.155387670000000
20	0	0.114336490000000
20	5	0.342658070000000
20	10	0.349624330000000
20	15	0.326961440000000
20	20	0.219547490000000
20	25	0.370940470000000
20	30	0.333767890000000
20	35	0.272500190000000
20	40	0.466040710000000
20	45	0.257641770000000
20	50	0.454971430000000
20	55	0.436985140000000
20	60	0.560097150000000
20	65	0.510672050000000
20	70	0.106922780000000
20	75	0.539160270000000
20	80	0.128447030000000
20	85	0.238174540000000
20	90	0.194545280000000
25	0	0.356669180000000
25	5	0.150999910000000
25	10	0.216371310000000
25	15	0.114727030000000
25	20	0.0721829040000000
25	25	0.0240403340000000
25	30	0.135420280000000
25	35	0.129276840000000
25	40	0.226349340000000
25	45	0.203615800000000
25	50	0.0713432210000000
25	55	0.177079680000000
25	60	0.0721164520000000
25	65	0.125453220000000
25	70	0.0372694390000000
25	75	0.160219320000000
25	80	0.0924317430000000
25	85	0.161267850000000
25	90	0.166446430000000
30	0	0.154315000000000
30	5	0.178559040000000
30	10	0.139752430000000
30	15	0.101865820000000
30	20	0.103758690000000
30	25	0.404594980000000
30	30	0.386245740000000
30	35	0.377388390000000
30	40	0.438684480000000
30	45	0.375140890000000
30	50	0.227905710000000
30	55	0.364327550000000
30	60	0.166119080000000
30	65	0.164307760000000
30	70	0.169000050000000
30	75	0.167887610000000
30	80	0.167253700000000
30	85	0.167471580000000
30	90	0.207149520000000
35	0	0.205075080000000
35	5	0.201039000000000
35	10	0.197678530000000
35	15	0.202072430000000
35	20	0.203868590000000
35	25	0.171236940000000
35	30	0.180039390000000
35	35	0.190274040000000
35	40	0.200086620000000
35	45	0.206062800000000
35	50	0.195116190000000
35	55	0.160649950000000
35	60	0.160153050000000
35	65	0.161433260000000
35	70	0.156376570000000
35	75	0.158519140000000
35	80	0.150313090000000
35	85	0.185112930000000
35	90	0.200211570000000
40	0	0.242644020000000
40	5	0.166190700000000
40	10	0.137882850000000
40	15	0.151614740000000
40	20	0.161378430000000
40	25	0.103026240000000
40	30	0.156347340000000
40	35	0.161617470000000
40	40	0.181982030000000
40	45	0.233721820000000
40	50	0.0792286400000000
40	55	0.115454030000000
40	60	0.0677923230000000
40	65	0.0811878080000000
40	70	0.113048460000000
40	75	0.133354270000000
40	80	0.168692710000000
40	85	0.186118080000000
40	90	0.0548298630000000
45	0	0.0381320990000000
45	5	0.0739710030000000
45	10	0.0827015470000000
45	15	0.0940932720000000
45	20	0.134743340000000
45	25	0.107748050000000
45	30	0.0983927010000000
45	35	0.0909389740000000
45	40	0.172819120000000
45	45	0.106278410000000
45	50	0.0714072570000000
45	55	0.167982990000000
45	60	0.168688450000000
45	65	0.110054960000000
45	70	0.166423970000000
45	75	0.0803011220000000
45	80	0.0513791580000000
45	85	0.136171260000000
45	90	0.197419770000000
50	0	0.153127080000000
50	5	0.0476702420000000
50	10	0.363780160000000
50	15	0.247527060000000
50	20	0.270044010000000
50	25	0.0649182650000000
50	30	0.0844311910000000
50	35	0.0703404250000000
50	40	0.252494950000000
50	45	0.256562930000000
50	50	0.185253140000000
50	55	0.140049290000000
50	60	0.157668040000000
50	65	0.197797350000000
50	70	0.372951740000000
50	75	0.280590850000000
50	80	0.313133790000000
50	85	0.183845000000000
50	90	0.163618530000000
55	0	0.213710680000000
55	5	0.269155660000000
55	10	0.223342560000000
55	15	0.241184910000000
55	20	0.345982250000000
55	25	0.367684200000000
55	30	0.288235120000000
55	35	0.294426960000000
55	40	0.259777410000000
55	45	0.284122800000000
55	50	0.391224470000000
55	55	0.325909610000000
55	60	0.334438580000000
55	65	0.427246140000000
55	70	0.240337160000000
55	75	0.566736760000000
55	80	0.344697910000000
55	85	0.357940160000000
55	90	0.323405100000000
60	0	0.603033390000000
60	5	0.327987960000000
60	10	0.729345040000000
60	15	0.526254160000000
60	20	0.499986560000000
60	25	0.477706680000000
60	30	0.166684770000000
60	35	0.163612830000000
60	40	0.164418110000000
60	45	0.166641180000000
60	50	0.167943370000000
60	55	0.165090990000000
60	60	0.203333750000000
60	65	0.203065990000000
60	70	0.178711270000000
60	75	0.198108030000000
60	80	0.168540890000000
60	85	0.168220600000000
60	90	0.192301070000000
65	0	0.196622350000000
65	5	0.194163140000000
