theta	phi	gain
(deg)	(deg)

---------------------------------

 0 0 0
 1 0 0.0003045864904521349
 2 0 0.001217974870087876
 3 0 0.002739052315863331
 4 0 0.004865965629214842
 5 0 0.007596123493895969
 6 0 0.01092619963309718
 7 0 0.01485213686200176
 8 0 0.01936915203084057
 9 0 0.02447174185242321
 10 0 0.0301536896070458
 11 0 0.03640807271660629
 12 0 0.04322727117869955
 13 0 0.05060297685041651
 14 0 0.05852620357053653
 15 0 0.06698729810778066
 16 0 0.07597595192178701
 17 0 0.08548121372247917
 18 0 0.09549150281252627
 19 0 0.105994623196639
 20 0 0.116977778440511
 21 0 0.1284275872613029
 22 0 0.1403300998306744
 23 0 0.1526708147705013
 24 0 0.1654346968205709
 25 0 0.1786061951567303
 26 0 0.1921692623371709
 27 0 0.2061073738537634
 28 0 0.2204035482646266
 29 0 0.2350403678833975
 30 0 0.2499999999999999
 31 0 0.2652642186070546
 32 0 0.2808144266054612
 33 0 0.2966316784620999
 34 0 0.3126967032920441
 35 0 0.3289899283371656
 36 0 0.3454915028125263
 37 0 0.3621813220915004
 38 0 0.379039052200166
 39 0 0.3960441545911202
 40 0 0.4131759111665347
 41 0 0.4304134495199671
 42 0 0.4477357683661733
 43 0 0.4651217631279373
 44 0 0.4825502516487495
 45 0 0.4999999999999999
 46 0 0.5174497483512506
 47 0 0.5348782368720628
 48 0 0.5522642316338268
 49 0 0.5695865504800327
 50 0 0.5868240888334652
 51 0 0.6039558454088797
 52 0 0.6209609477998339
 53 0 0.6378186779084996
 54 0 0.6545084971874737
 55 0 0.6710100716628343
 56 0 0.6873032967079559
 57 0 0.7033683215379002
 58 0 0.7191855733945387
 59 0 0.7347357813929455
 60 0 0.7500000000000001
 61 0 0.7649596321166023
 62 0 0.7795964517353735
 63 0 0.7938926261462367
 64 0 0.8078307376628292
 65 0 0.8213938048432696
 66 0 0.834565303179429
 67 0 0.8473291852294987
 68 0 0.8596699001693257
 69 0 0.8715724127386971
 70 0 0.8830222215594891
 71 0 0.894005376803361
 72 0 0.9045084971874736
 73 0 0.9145187862775208
 74 0 0.924024048078213
 75 0 0.9330127018922194
 76 0 0.9414737964294635
 77 0 0.9493970231495835
 78 0 0.9567727288213006
 79 0 0.9635919272833937
 80 0 0.9698463103929541
 81 0 0.9755282581475768
 82 0 0.9806308479691596
 83 0 0.9851478631379982
 84 0 0.9890738003669027
 85 0 0.9924038765061041
 86 0 0.9951340343707851
 87 0 0.9972609476841365
 88 0 0.9987820251299122
 89 0 0.9996954135095479
 90 0 1
 91 0 0.9996954135095479
 92 0 0.9987820251299122
 93 0 0.9972609476841365
 94 0 0.9951340343707851
 95 0 0.9924038765061041
 96 0 0.9890738003669027
 97 0 0.9851478631379982
 98 0 0.9806308479691596
 99 0 0.9755282581475768
 100 0 0.9698463103929541
 101 0 0.9635919272833937
 102 0 0.9567727288213006
 103 0 0.9493970231495835
 104 0 0.9414737964294635
 105 0 0.9330127018922194
 106 0 0.924024048078213
 107 0 0.9145187862775208
 108 0 0.9045084971874736
 109 0 0.894005376803361
 110 0 0.8830222215594891
 111 0 0.8715724127386971
 112 0 0.8596699001693257
 113 0 0.8473291852294987
 114 0 0.834565303179429
 115 0 0.8213938048432696
 116 0 0.8078307376628292
 117 0 0.7938926261462367
 118 0 0.7795964517353735
 119 0 0.7649596321166023
 120 0 0.7500000000000001
 121 0 0.7347357813929455
 122 0 0.7191855733945387
 123 0 0.7033683215379002
 124 0 0.6873032967079559
 125 0 0.6710100716628343
 126 0 0.6545084971874737
 127 0 0.6378186779084996
 128 0 0.6209609477998339
 129 0 0.6039558454088797
 130 0 0.5868240888334652
 131 0 0.5695865504800327
 132 0 0.5522642316338268
 133 0 0.5348782368720628
 134 0 0.5174497483512506
 135 0 0.4999999999999999
 136 0 0.4825502516487495
 137 0 0.4651217631279373
 138 0 0.4477357683661733
 139 0 0.4304134495199671
 140 0 0.4131759111665347
 141 0 0.3960441545911202
 142 0 0.379039052200166
 143 0 0.3621813220915004
 144 0 0.3454915028125263
 145 0 0.3289899283371656
 146 0 0.3126967032920441
 147 0 0.2966316784620999
 148 0 0.2808144266054612
 149 0 0.2652642186070546
 150 0 0.2499999999999999
 151 0 0.2350403678833975
 152 0 0.2204035482646266
 153 0 0.2061073738537634
 154 0 0.1921692623371709
 155 0 0.1786061951567303
 156 0 0.1654346968205709
 157 0 0.1526708147705013
 158 0 0.1403300998306744
 159 0 0.1284275872613029
 160 0 0.116977778440511
 161 0 0.105994623196639
 162 0 0.09549150281252627
 163 0 0.08548121372247917
 164 0 0.07597595192178701
 165 0 0.06698729810778066
 166 0 0.05852620357053653
 167 0 0.05060297685041651
 168 0 0.04322727117869955
 169 0 0.03640807271660629
 170 0 0.0301536896070458
 171 0 0.02447174185242321
 172 0 0.01936915203084057
 173 0 0.01485213686200176
 174 0 0.01092619963309718
 175 0 0.007596123493895969
 176 0 0.004865965629214842
 177 0 0.002739052315863331
 178 0 0.001217974870087876
 179 0 0.0003045864904521349
 180 0 0
 0 1 0
 1 1 0.0003045864904521349
 2 1 0.001217974870087876
 3 1 0.002739052315863331
 4 1 0.004865965629214842
 5 1 0.007596123493895969
 6 1 0.01092619963309718
 7 1 0.01485213686200176
 8 1 0.01936915203084057
 9 1 0.02447174185242321
 10 1 0.0301536896070458
 11 1 0.03640807271660629
 12 1 0.04322727117869955
 13 1 0.05060297685041651
 14 1 0.05852620357053653
 15 1 0.06698729810778066
 16 1 0.07597595192178701
 17 1 0.08548121372247917
 18 1 0.09549150281252627
 19 1 0.105994623196639
 20 1 0.116977778440511
 21 1 0.1284275872613029
 22 1 0.1403300998306744
 23 1 0.1526708147705013
 24 1 0.1654346968205709
 25 1 0.1786061951567303
 26 1 0.1921692623371709
 27 1 0.2061073738537634
 28 1 0.2204035482646266
 29 1 0.2350403678833975
 30 1 0.2499999999999999
 31 1 0.2652642186070546
 32 1 0.2808144266054612
 33 1 0.2966316784620999
 34 1 0.3126967032920441
 35 1 0.3289899283371656
 36 1 0.3454915028125263
 37 1 0.3621813220915004
