theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.831967080000000
0	5	0.835568600000000
0	10	0.833785220000000
0	15	0.833385570000000
0	20	0.834608990000000
0	25	0.840213300000000
0	30	0.831593010000000
0	35	0.782315100000000
0	40	0.781345170000000
0	45	0.786945190000000
0	50	0.787169130000000
0	55	0.791895250000000
0	60	0.790425030000000
0	65	0.796080140000000
0	70	0.808793510000000
0	75	0.807174690000000
0	80	0.813646610000000
0	85	0.817053730000000
0	90	0.819102190000000
5	0	0.816358100000000
5	5	0.813560150000000
5	10	0.815122340000000
5	15	0.809962050000000
5	20	0.798592060000000
5	25	0.787555340000000
5	30	0.830754700000000
5	35	0.803859810000000
5	40	0.801667990000000
5	45	0.802819660000000
5	50	0.814703460000000
5	55	0.840580860000000
5	60	0.845366670000000
5	65	0.819142360000000
5	70	0.801662050000000
5	75	0.781840810000000
5	80	0.805863320000000
5	85	0.810670980000000
5	90	0.808569790000000
10	0	0.798025660000000
10	5	0.832034120000000
10	10	0.854931150000000
10	15	0.792352050000000
10	20	0.921063330000000
10	25	0.879821020000000
10	30	0.835983410000000
10	35	0.899623050000000
10	40	0.856809950000000
10	45	0.887861990000000
10	50	0.735532820000000
10	55	0.851155750000000
10	60	0.725668450000000
10	65	0.839888490000000
10	70	0.695247450000000
10	75	0.732447720000000
10	80	0.739178970000000
10	85	0.743227940000000
10	90	0.812064440000000
15	0	0.772978500000000
15	5	0.861250710000000
15	10	0.785609880000000
15	15	0.810924800000000
15	20	0.757702700000000
15	25	0.696384860000000
15	30	0.780477370000000
15	35	0.805335510000000
15	40	0.808386790000000
15	45	0.768931900000000
15	50	0.856366840000000
15	55	0.861301240000000
15	60	0.850950600000000
15	65	0.602319910000000
15	70	0.494828430000000
15	75	0.617454710000000
15	80	0.495028420000000
15	85	0.509396090000000
15	90	0.633238030000000
20	0	0.615430200000000
20	5	0.726704780000000
20	10	0.744128220000000
20	15	0.726831540000000
20	20	0.698914570000000
20	25	0.675156840000000
20	30	0.733789190000000
20	35	0.687597060000000
20	40	0.609637990000000
20	45	0.462707590000000
20	50	0.679820080000000
20	55	0.691422280000000
20	60	0.710411310000000
20	65	0.564644750000000
20	70	0.399708030000000
20	75	0.665935900000000
20	80	0.854656500000000
20	85	0.648779710000000
20	90	0.779409280000000
25	0	0.854960720000000
25	5	0.633273380000000
25	10	0.598218150000000
25	15	0.777389820000000
25	20	0.846952540000000
25	25	0.730845620000000
25	30	0.650278340000000
25	35	0.481591830000000
25	40	0.828271140000000
25	45	0.762306880000000
25	50	0.688236350000000
25	55	0.769121940000000
25	60	0.737379860000000
25	65	0.660500790000000
25	70	0.651318370000000
25	75	0.475289400000000
25	80	0.716388840000000
25	85	0.659691070000000
25	90	0.457620590000000
30	0	0.351864160000000
30	5	0.554317800000000
30	10	0.463434120000000
30	15	0.535817670000000
30	20	0.445076290000000
30	25	0.155959920000000
30	30	0.327156100000000
30	35	0.289804470000000
30	40	0.359470860000000
30	45	0.268294510000000
30	50	0.222488550000000
30	55	0.300221130000000
30	60	0.832863420000000
30	65	0.834864570000000
30	70	0.832278600000000
30	75	0.832276370000000
30	80	0.834395710000000
30	85	0.834717930000000
30	90	0.794099990000000
35	0	0.795816460000000
35	5	0.798215450000000
35	10	0.799541270000000
35	15	0.792454160000000
35	20	0.787355150000000
35	25	0.811891820000000
35	30	0.805497740000000
35	35	0.805057240000000
35	40	0.804294720000000
35	45	0.796404170000000
35	50	0.799047300000000
35	55	0.797597920000000
35	60	0.805969790000000
35	65	0.813636280000000
35	70	0.822325440000000
35	75	0.840122110000000
35	80	0.830897080000000
35	85	0.792452690000000
35	90	0.783190910000000
40	0	0.757490080000000
40	5	0.800563270000000
40	10	0.825084080000000
40	15	0.818427610000000
40	20	0.832514640000000
40	25	0.842584630000000
40	30	0.798514900000000
40	35	0.829951560000000
40	40	0.806705740000000
40	45	0.790773680000000
40	50	0.815057420000000
40	55	0.861451940000000
40	60	0.842663830000000
40	65	0.838837810000000
40	70	0.833805240000000
40	75	0.834027280000000
40	80	0.851354760000000
40	85	0.751615430000000
40	90	0.923451500000000
45	0	0.889380800000000
45	5	0.860233520000000
45	10	0.819903950000000
45	15	0.624157910000000
45	20	0.693307330000000
45	25	0.703005610000000
45	30	0.721717440000000
45	35	0.856269290000000
45	40	0.744416570000000
45	45	0.853774970000000
45	50	0.910215810000000
45	55	0.639581630000000
45	60	0.752055180000000
45	65	0.679967810000000
45	70	0.670075120000000
45	75	0.634639510000000
45	80	0.702926170000000
45	85	0.781915110000000
45	90	0.727026240000000
50	0	0.651438410000000
50	5	0.737853300000000
50	10	0.546296110000000
50	15	0.522033830000000
50	20	0.558014090000000
50	25	0.539582550000000
50	30	0.448627810000000
50	35	0.597161780000000
50	40	0.632701680000000
50	45	0.592203970000000
50	50	0.454214480000000
50	55	0.612369680000000
50	60	0.328120650000000
50	65	0.432274420000000
50	70	0.608151320000000
50	75	0.741379220000000
50	80	0.715262190000000
50	85	0.547419920000000
50	90	0.598181390000000
55	0	0.457095480000000
55	5	0.725302290000000
55	10	0.740809960000000
55	15	0.686832090000000
55	20	0.731076430000000
55	25	0.667822470000000
55	30	0.675344520000000
55	35	0.694454850000000
55	40	0.786230130000000
55	45	0.638730640000000
55	50	0.635644960000000
55	55	0.686748010000000
55	60	0.744582690000000
55	65	0.570952860000000
55	70	0.625952820000000
55	75	0.630164280000000
55	80	0.551775390000000
55	85	0.516532470000000
55	90	0.565021750000000
60	0	0.378436630000000
60	5	0.433453560000000
60	10	0.476655800000000
60	15	0.380404650000000
60	20	0.337364510000000
60	25	0.303683970000000
60	30	0.836697390000000
60	35	0.839262920000000
60	40	0.840760030000000
60	45	0.838600880000000
60	50	0.838285020000000
60	55	0.840362940000000
60	60	0.782477860000000
60	65	0.779132940000000
60	70	0.826000530000000
60	75	0.786774310000000
60	80	0.835473270000000
60	85	0.833839310000000
60	90	0.797428590000000
65	0	0.792699420000000
65	5	0.796188200000000
65	10	0.781698060000000
65	15	0.777196950000000
65	20	0.827041470000000
