theta	phi	gain
(deg)	(deg)	
-----------------------------------------
0	0	0.837800310000000
0	5	0.839861620000000
0	10	0.838434850000000
0	15	0.838461770000000
0	20	0.837376490000000
0	25	0.840975890000000
0	30	0.833818460000000
0	35	0.793879200000000
0	40	0.792302730000000
0	45	0.793538390000000
0	50	0.795723240000000
0	55	0.793064300000000
0	60	0.794355960000000
0	65	0.795177260000000
0	70	0.846119960000000
0	75	0.841931650000000
0	80	0.846409640000000
0	85	0.845515100000000
0	90	0.845298110000000
5	0	0.839205210000000
5	5	0.832571660000000
5	10	0.833837530000000
5	15	0.835166940000000
5	20	0.835547170000000
5	25	0.849029080000000
5	30	0.858359480000000
5	35	0.855796530000000
5	40	0.846300850000000
5	45	0.807597900000000
5	50	0.808726630000000
5	55	0.814007800000000
5	60	0.810885030000000
5	65	0.827599570000000
5	70	0.811087960000000
5	75	0.824105730000000
5	80	0.928851180000000
5	85	0.931279320000000
5	90	0.911690780000000
10	0	0.922678310000000
10	5	0.934343510000000
10	10	0.901883170000000
10	15	0.884402610000000
10	20	0.931584000000000
10	25	0.933645240000000
10	30	0.912535010000000
10	35	0.937550300000000
10	40	0.933142890000000
10	45	0.950990000000000
10	50	0.863654150000000
10	55	0.930913260000000
10	60	0.875543830000000
10	65	0.878194870000000
10	70	0.880412380000000
10	75	0.867259170000000
10	80	0.891117220000000
10	85	0.866084080000000
10	90	0.918527740000000
15	0	0.902736710000000
15	5	0.857837230000000
15	10	0.837590660000000
15	15	0.730094610000000
15	20	0.835106800000000
15	25	0.726499590000000
15	30	0.977806830000000
15	35	0.982551590000000
15	40	0.988332260000000
15	45	0.980521680000000
15	50	0.939291900000000
15	55	0.956107580000000
15	60	0.943602890000000
15	65	0.390183510000000
15	70	0.433210620000000
15	75	0.577088290000000
15	80	0.526619370000000
15	85	0.745127490000000
15	90	0.844612330000000
20	0	0.885663510000000
20	5	0.657341930000000
20	10	0.650375670000000
20	15	0.673038560000000
20	20	0.780452510000000
20	25	0.629059530000000
20	30	0.666232110000000
20	35	0.727499810000000
20	40	0.533959290000000
20	45	0.742358230000000
20	50	0.545028570000000
20	55	0.563014860000000
20	60	0.439902850000000
20	65	0.489327950000000
20	70	0.893077220000000
20	75	0.460839730000000
20	80	0.871552970000000
20	85	0.761825460000000
20	90	0.805454720000000
25	0	0.643330820000000
25	5	0.849000090000000
25	10	0.783628690000000
25	15	0.885272970000000
25	20	0.927817100000000
25	25	0.975959670000000
25	30	0.864579720000000
25	35	0.870723160000000
25	40	0.773650660000000
25	45	0.796384200000000
25	50	0.928656780000000
25	55	0.822920320000000
25	60	0.927883550000000
25	65	0.874546780000000
25	70	0.962730560000000
25	75	0.839780680000000
25	80	0.907568260000000
25	85	0.838732150000000
25	90	0.833553570000000
30	0	0.845685000000000
30	5	0.821440960000000
30	10	0.860247570000000
30	15	0.898134180000000
30	20	0.896241310000000
30	25	0.595405020000000
30	30	0.613754260000000
30	35	0.622611610000000
30	40	0.561315520000000
30	45	0.624859110000000
30	50	0.772094290000000
30	55	0.635672450000000
30	60	0.833880920000000
30	65	0.835692240000000
30	70	0.830999950000000
30	75	0.832112390000000
30	80	0.832746300000000
30	85	0.832528420000000
30	90	0.792850480000000
35	0	0.794924920000000
35	5	0.798961000000000
35	10	0.802321470000000
35	15	0.797927570000000
35	20	0.796131410000000
35	25	0.828763060000000
35	30	0.819960610000000
35	35	0.809725960000000
35	40	0.799913380000000
35	45	0.793937200000000
35	50	0.804883810000000
35	55	0.839350050000000
35	60	0.839846950000000
35	65	0.838566740000000
35	70	0.843623430000000
35	75	0.841480860000000
35	80	0.849686910000000
35	85	0.814887070000000
35	90	0.799788430000000
40	0	0.757355980000000
40	5	0.833809300000000
40	10	0.862117150000000
40	15	0.848385260000000
40	20	0.838621570000000
40	25	0.896973760000000
40	30	0.843652660000000
40	35	0.838382530000000
40	40	0.818017970000000
40	45	0.766278180000000
40	50	0.920771360000000
40	55	0.884545970000000
40	60	0.932207680000000
40	65	0.918812190000000
40	70	0.886951540000000
40	75	0.866645730000000
40	80	0.831307290000000
40	85	0.813881920000000
40	90	0.945170140000000
45	0	0.961867900000000
45	5	0.926029000000000
45	10	0.917298450000000
45	15	0.905906730000000
45	20	0.865256660000000
45	25	0.892251950000000
45	30	0.901607300000000
45	35	0.909061030000000
45	40	0.827180880000000
45	45	0.893721590000000
45	50	0.928592740000000
45	55	0.832017010000000
45	60	0.831311550000000
45	65	0.889945040000000
45	70	0.833576030000000
45	75	0.919698880000000
45	80	0.948620840000000
45	85	0.863828740000000
45	90	0.802580230000000
50	0	0.846872920000000
50	5	0.952329760000000
50	10	0.636219840000000
50	15	0.752472940000000
50	20	0.729955990000000
50	25	0.935081730000000
50	30	0.915568810000000
50	35	0.929659580000000
50	40	0.747505050000000
50	45	0.743437070000000
50	50	0.814746860000000
50	55	0.859950710000000
50	60	0.842331960000000
50	65	0.802202650000000
50	70	0.627048260000000
50	75	0.719409150000000
50	80	0.686866210000000
50	85	0.816155000000000
50	90	0.836381470000000
55	0	0.786289320000000
55	5	0.730844340000000
55	10	0.776657440000000
55	15	0.758815090000000
55	20	0.654017750000000
55	25	0.632315800000000
55	30	0.711764880000000
55	35	0.705573040000000
55	40	0.740222590000000
55	45	0.715877200000000
55	50	0.608775530000000
55	55	0.674090390000000
55	60	0.665561420000000
55	65	0.572753860000000
55	70	0.759662840000000
55	75	0.433263240000000
55	80	0.655302090000000
55	85	0.642059840000000
55	90	0.676594900000000
60	0	0.396966610000000
60	5	0.672012040000000
60	10	0.270654960000000
60	15	0.473745840000000
60	20	0.500013440000000
60	25	0.522293320000000
60	30	0.833315230000000
60	35	0.836387170000000
60	40	0.835581890000000
60	45	0.833358820000000
60	50	0.832056630000000
60	55	0.834909010000000
60	60	0.796666250000000
60	65	0.796934010000000
60	70	0.821288730000000
60	75	0.801891970000000
60	80	0.831459110000000
60	85	0.831779400000000
60	90	0.807698930000000
65	0	0.803377650000000
65	5	0.805836860000000
65	10	0.795768460000000
65	15	0.796970130000000
65	20	0.819982530000000
