theta	phi	gain
(deg)	(deg)	
-----------------------------------------
            0            0        4.854
            0            1        4.853
            0            2        4.848
            0            3        4.841
            0            4         4.83
            0            5        4.816
            0            6        4.799
            0            7        4.779
            0            8        4.756
            0            9         4.73
            0           10          4.7
            0           11        4.668
            0           12        4.633
            0           13        4.595
            0           14        4.554
            0           15         4.51
            0           16        4.464
            0           17        4.415
            0           18        4.364
            0           19         4.31
            0           20        4.254
            0           21        4.195
            0           22        4.135
            0           23        4.072
            0           24        4.007
            0           25        3.941
            0           26        3.873
            0           27        3.803
            0           28        3.731
            0           29        3.658
            0           30        3.584
            0           31        3.509
            0           32        3.433
            0           33        3.355
            0           34        3.277
            0           35        3.198
            0           36        3.119
            0           37        3.039
            0           38        2.959
            0           39        2.879
            0           40        2.799
            0           41        2.719
            0           42        2.639
            0           43         2.56
            0           44        2.481
            0           45        2.403
            0           46        2.325
            0           47        2.248
            0           48        2.172
            0           49        2.097
            0           50        2.024
            0           51        1.951
            0           52         1.88
            0           53         1.81
            0           54        1.741
            0           55        1.674
            0           56        1.609
            0           57        1.545
            0           58        1.483
            0           59        1.422
            0           60        1.364
            0           61        1.306
            0           62        1.251
            0           63        1.197
            0           64        1.146
            0           65        1.096
            0           66        1.047
            0           67        1.001
            0           68       0.9558
            0           69       0.9127
            0           70       0.8712
            0           71       0.8315
            0           72       0.7933
            0           73       0.7567
            0           74       0.7217
            0           75       0.6882
            0           76       0.6562
            0           77       0.6256
            0           78       0.5964
            0           79       0.5685
            0           80       0.5419
            0           81       0.5166
            0           82       0.4925
            0           83       0.4695
            0           84       0.4477
            0           85       0.4269
            0           86       0.4072
            0           87       0.3884
            0           88       0.3706
            0           89       0.3536
            0           90       0.3375
            0           91       0.3223
            0           92       0.3078
            0           93        0.294
            0           94       0.2809
            0           95       0.2685
            0           96       0.2567
            0           97       0.2455
            0           98       0.2349
            0           99       0.2248
            0          100       0.2152
            0          101       0.2061
            0          102       0.1975
            0          103       0.1893
            0          104       0.1816
            0          105       0.1742
            0          106       0.1672
            0          107       0.1605
            0          108       0.1542
            0          109       0.1482
            0          110       0.1425
            0          111       0.1371
            0          112        0.132
            0          113       0.1271
            0          114       0.1225
            0          115       0.1182
            0          116       0.1141
            0          117       0.1102
            0          118       0.1065
            0          119       0.1031
            0          120       0.0998
            0          121      0.09673
            0          122      0.09384
            0          123      0.09114
            0          124      0.08861
            0          125      0.08625
            0          126      0.08405
            0          127      0.08201
            0          128      0.08012
            0          129      0.07838
            0          130      0.07679
            0          131      0.07534
            0          132      0.07402
            0          133      0.07285
            0          134      0.07182
            0          135      0.07092
            0          136      0.07016
            0          137      0.06954
            0          138      0.06907
            0          139      0.06875
            0          140      0.06857
            0          141      0.06856
            0          142      0.06871
            0          143      0.06904
            0          144      0.06955
            0          145      0.07026
            0          146      0.07117
            0          147       0.0723
            0          148      0.07365
            0          149      0.07524
            0          150      0.07708
            0          151      0.07917
            0          152      0.08153
            0          153      0.08415
            0          154      0.08706
            0          155      0.09023
            0          156      0.09368
            0          157       0.0974
            0          158       0.1014
            0          159       0.1056
            0          160         0.11
            0          161       0.1147
            0          162       0.1195
            0          163       0.1245
            0          164       0.1295
            0          165       0.1347
            0          166       0.1398
            0          167        0.145
            0          168       0.1501
            0          169        0.155
            0          170       0.1598
            0          171       0.1643
            0          172       0.1686
            0          173       0.1725
            0          174        0.176
            0          175       0.1792
            0          176       0.1819
            0          177        0.184
            0          178       0.1857
            0          179       0.1868
            0          180       0.1874
            0          181       0.1874
            0          182       0.1869
            0          183       0.1858
            0          184       0.1842
            0          185       0.1821
            0          186       0.1796
            0          187       0.1765
            0          188       0.1731
            0          189       0.1693
            0          190       0.1652
            0          191       0.1609
            0          192       0.1563
            0          193       0.1516
            0          194       0.1468
            0          195       0.1419
            0          196        0.137
            0          197       0.1321
            0          198       0.1273
            0          199       0.1226
            0          200       0.1181
            0          201       0.1137
            0          202       0.1095
            0          203       0.1055
            0          204       0.1018
            0          205      0.09827
            0          206      0.09501
            0          207        0.092
            0          208      0.08925
            0          209      0.08674
            0          210      0.08449
            0          211      0.08248
            0          212       0.0807
            0          213      0.07915
            0          214      0.07782
            0          215       0.0767
            0          216      0.07578
            0          217      0.07506
            0          218      0.07451
            0          219      0.07415
            0          220      0.07395
            0          221      0.07392
            0          222      0.07405
            0          223      0.07433
            0          224      0.07477
            0          225      0.07536
            0          226       0.0761
            0          227      0.07698
            0          228      0.07802
            0          229      0.07922
            0          230      0.08056
            0          231      0.08207
            0          232      0.08373
            0          233      0.08556
            0          234      0.08756
            0          235      0.08973
            0          236      0.09208
            0          237      0.09461
            0          238      0.09733
            0          239       0.1002
            0          240       0.1034
            0          241       0.1067
            0          242       0.1102
            0          243        0.114
            0          244        0.118
            0          245       0.1222
            0          246       0.1267
            0          247       0.1314
            0          248       0.1364
            0          249       0.1416
            0          250       0.1472
            0          251        0.153
            0          252       0.1592
            0          253       0.1657
            0          254       0.1725
            0          255       0.1797
            0          256       0.1872
            0          257       0.1952
            0          258       0.2035
            0          259       0.2123
            0          260       0.2215
            0          261       0.2312
            0          262       0.2415
            0          263       0.2522
            0          264       0.2635
            0          265       0.2754
            0          266       0.2879
            0          267       0.3011
            0          268       0.3149
            0          269       0.3295
            0          270       0.3448
            0          271       0.3609
            0          272       0.3778
            0          273       0.3956
            0          274       0.4143
            0          275        0.434
            0          276       0.4547
            0          277       0.4764
            0          278       0.4992
            0          279       0.5232
            0          280       0.5483
            0          281       0.5746
            0          282       0.6023
            0          283       0.6312
            0          284       0.6615
            0          285       0.6932
            0          286       0.7263
            0          287        0.761
            0          288       0.7971
            0          289       0.8348
            0          290       0.8742
            0          291       0.9151
            0          292       0.9577
            0          293        1.002
            0          294        1.048
            0          295        1.096
            0          296        1.145
            0          297        1.196
            0          298        1.249
            0          299        1.304
            0          300         1.36
            0          301        1.418
            0          302        1.478
            0          303        1.539
            0          304        1.603
            0          305        1.667
            0          306        1.733
            0          307        1.801
            0          308         1.87
            0          309        1.941
            0          310        2.013
            0          311        2.086
            0          312         2.16
